schlcode,cohsize,classize,tipuach,grade,coh_id,num_classrooms,avgscore
11005,35,35,24,4,1,1,65.354996
11006,54,27,38,4,3,2,58.059998
11006,54,27,38,4,3,2,60.245003
11009,38,38,6,4,5,1,77.535004
11010,73,37,3,4,7,2,69
11010,73,36,3,4,7,2,69.510002
11013,65,31,8,4,9,2,59.105
11013,65,34,8,4,9,2,69.077576
11015,89,30,6,4,11,3,82.830002
11015,89,30,6,4,11,3,80.785004
11015,89,29,6,4,11,3,82.501427
11017,85,29,9,4,13,3,73.869995
11017,85,28,9,4,13,3,65.195
11017,85,28,9,4,13,3,56.43
11020,74,38,5,4,15,2,76.099998
11020,74,36,5,4,15,2,74.724998
11021,66,34,11,4,17,2,73.32
11021,66,31,11,4,17,2,72.649033
11027,96,33,5,4,19,3,72.369995
11027,96,32,5,4,19,3,73.349998
11027,96,31,5,4,19,3,75.830002
11029,87,31,11,4,21,3,63.900002
11029,87,26,11,4,21,3,58.794998
11029,87,30,11,4,21,3,63.919998
11031,73,36,12,4,23,2,72.100006
11031,73,37,12,4,23,2,76.32
11032,80,29,13,4,25,3,63.945
11032,80,29,13,4,25,3,62.509998
11032,80,29,13,4,25,3,58.121063
11034,79,26,11,4,27,3,68.75
11034,79,26,11,4,27,3,56.455002
11034,79,27,11,4,27,3,67.059998
11044,36,35,50,4,29,1,57
11045,77,38,9,4,31,2,73.660004
11045,77,39,9,4,31,2,69.175003
11048,87,22,11,4,33,2,81.830002
11048,87,23,11,4,33,2,80.020004
11054,42,22,17,4,35,2,62.91
11054,42,20,17,4,35,2,67.260002
11058,65,35,13,4,37,2,68.275002
11061,50,22,15,4,39,2,55.459999
11061,50,28,15,4,39,2,65.022141
11064,21,21,25,4,41,1,48.650002
11065,23,23,42,4,43,1,63.09
11067,60,26,31,4,45,3,58.040001
11067,60,27,31,4,45,3,50.40889
11072,49,24,25,4,47,2,67.849998
11072,49,25,25,4,47,2,68.365005
11073,43,21,7,4,49,2,79.404999
11073,43,22,7,4,49,2,78.754997
11106,65,26,3,4,51,3,76.130005
11106,65,27,3,4,51,3,68.904999
11108,14,14,54,4,53,1,51.27
11109,118,30,5,4,55,4,78.919998
11109,118,33,5,4,55,4,76.645004
11109,118,24,5,4,55,4,76.029999
11109,118,31,5,4,55,4,74.681458
11111,99,34,5,4,57,3,65.614998
11111,99,29,5,4,57,3,65.125
11111,99,36,5,4,57,3,68.543381
11115,60,18,11,4,59,3,58.830002
11115,60,30,11,4,59,3,67.044998
11117,72,32,31,4,61,3,65.334999
11117,72,33,31,4,61,3,57.674999
11119,83,22,21,4,63,3,74.75
11119,83,39,21,4,63,3,64.985001
11119,83,22,21,4,63,3,67.547958
11120,107,37,2,4,65,3,64.099998
11120,107,36,2,4,65,3,57.044998
11120,107,34,2,4,65,3,63.014999
11126,45,23,16,4,67,2,57.23
11126,45,22,16,4,67,2,67.949997
11127,43,31,6,4,69,2,66
11128,75,38,12,4,71,2,76.490005
11132,95,33,9,4,73,3,68.764999
11132,95,32,9,4,73,3,79.050003
11132,95,30,9,4,73,3,71.905045
11133,32,32,7,4,75,1,78.764999
11134,65,34,2,4,77,2,64.665001
11134,65,31,2,4,77,2,61.985001
11135,66,31,4,4,79,2,76.940002
11135,66,35,4,4,79,2,81.790001
11144,98,32,10,4,81,3,65.494995
11144,98,32,10,4,81,3,67.75
11144,98,33,10,4,81,3,63.300713
11145,21,21,10,4,83,1,66.214996
11150,88,31,2,4,84,3,71.824997
11150,88,27,2,4,84,3,71.574997
11150,88,30,2,4,84,3,75.302414
11151,28,28,42,4,86,1,55.864998
11152,92,29,5,4,88,3,71.285004
11152,92,32,5,4,88,3,74.589996
11152,92,31,5,4,88,3,71.110001
11159,43,22,17,4,90,2,68.629997
11159,43,21,17,4,90,2,68.300667
11161,47,23,19,4,92,2,65.345001
11161,47,24,19,4,92,2,71.910004
11165,29,19,1,4,94,2,72.5
11168,26,26,5,4,96,1,69.440002
11169,23,23,0,4,98,1,80.800003
11170,75,35,2,4,99,2,77.82
11170,75,40,2,4,99,2,75.283501
11171,93,24,8,4,101,3,73.5
11171,93,22,8,4,101,3,73.463333
11172,15,15,7,4,103,1,77.165001
11181,84,35,8,4,105,3,73.5
11182,54,30,9,4,107,2,67.790001
11182,54,24,9,4,107,2,66.830002
11183,71,36,1,4,109,2,75.985001
11183,71,35,1,4,109,2,66.050003
11184,99,33,5,4,111,3,78.035004
11184,99,33,5,4,111,3,71.809998
11184,99,33,5,4,111,3,74.638626
11187,119,40,4,4,113,3,76.790001
11187,119,39,4,4,113,3,76.800003
11187,119,40,4,4,113,3,69.846664
11188,41,21,12,4,115,2,47.815002
11188,41,16,12,4,115,2,49.91
11189,31,33,11,4,117,1,67.849998
11190,86,29,5,4,119,3,68.760002
11190,86,27,5,4,119,3,64.830002
11190,86,30,5,4,119,3,74.595001
11196,29,29,0,4,121,1,71.365005
11201,84,28,3,4,123,3,71.860001
11201,84,28,3,4,123,3,74.479996
11201,84,28,3,4,123,3,66.644386
11203,22,22,0,4,125,1,71.889999
11205,27,27,3,4,127,1,72.919998
11207,81,27,10,4,129,3,68.57
11207,81,24,10,4,129,3,75.514999
11207,81,30,10,4,129,3,72.740005
11209,31,31,0,4,131,1,66.5
11212,20,20,2,4,133,1,76.485001
11213,108,38,7,4,135,3,69.470001
11213,108,32,7,4,135,3,70.919998
11213,108,38,7,4,135,3,73.209999
11215,21,21,0,4,137,1,74.270004
11217,155,39,5,4,138,4,66.974998
11217,155,39,5,4,138,4,59.485001
11217,155,38,5,4,138,4,63.924999
11217,155,39,5,4,138,4,65.379341
11218,103,35,6,4,140,3,73.175003
11218,103,33,6,4,140,3,67.595001
11218,103,34,6,4,140,3,73.32
11220,138,34,4,4,143,4,75.5
11220,138,35,4,4,143,4,79.5
11220,138,36,4,4,143,4,80.660004
11220,138,33,4,4,143,4,74.026138
11221,87,29,11,4,145,3,73.604996
11221,87,30,11,4,145,3,80.305
11221,87,28,11,4,145,3,75.631348
11222,82,27,3,4,147,3,54.98
11222,82,29,3,4,147,3,58.290001
11222,82,26,3,4,147,3,64.057121
11225,78,40,2,4,149,2,76.419998
11225,78,38,2,4,149,2,80.184998
11227,123,41,0,4,151,3,68.334999
11227,123,42,0,4,151,3,66.544998
11227,123,40,0,4,151,3,68.884995
11228,31,31,19,4,153,1,67.169998
11233,72,37,11,4,155,2,72.240005
11233,72,35,11,4,155,2,65.464996
11234,210,35,10,4,157,6,72.095001
11234,210,37,10,4,157,6,71.190002
11234,210,35,10,4,157,6,66.229996
11234,210,36,10,4,157,6,68.354996
11234,210,32,10,4,157,6,67.779999
11234,210,35,10,4,157,6,
11235,38,38,8,4,159,1,68.854996
11236,11,11,0,4,161,1,72.919998
11238,20,20,1,4,162,1,69
11239,88,24,3,4,164,3,66.345001
11239,88,26,3,4,164,3,65.195
11239,88,38,3,4,164,3,69.959999
11247,57,23,5,4,166,2,70.380005
11247,57,34,5,4,166,2,63.001957
